14749971	alihashem_tv	Ali Hashem  
633992873	jafariysaeid	Saeid Jafari
2164583325	ebtekarm	Massoumeh Ebtekar
119360445	ElBaradei	Mohamed ElBaradei
20109973	AnnCurry	Ann Curry
48906364	vali_nasr	Vali Nasr
1092006794	akramsharifi	akram sharifi
17001490	jricole	Juan Cole
705324658	mehdi_rahbar	mehdi rahbar
1962661579	z_siver	zeinab esmaeili
434829567	A_Davutoglu_eng	Ahmet Davutolu
1908105828	Z_Asghari	Zahra Asghari
47455112	lrozen	Laura Rozen
48878503	hmajd	Hooman Majd
18549724	carlbildt	Carl Bildt
1932851846	araghchi	Seyed Abbas Araghchi
27966935	khamenei_ir	Khamenei.ir
1404590618	HassanRouhani	Hassan Rouhani
